dataset,algorithm,layers,accuracy,precision,recall
cancer,ga,0,0.9795,[0.9931 0.9554],[0.9752 0.9874]
cancer,ga,1,0.9810,[1.0000 0.9484],[0.9707 1.0000]
cancer,ga,2,0.8859,[0.8602 0.9600],[0.9842 0.7029]
cancer,de,0,0.9707,[0.9862 0.9433],[0.9684 0.9748]
cancer,de,1,0.9590,[0.9770 0.9271],[0.9594 0.9581]
cancer,de,2,0.9457,[0.9721 0.9007],[0.9436 0.9497]
cancer,pso,0,0.9663,[0.9861 0.9320],[0.9617 0.9748]
cancer,pso,1,0.9137,[0.9122 0.9166],[0.9594 0.8284]
cancer,pso,2,0.8532,[0.8346 0.9112],[0.9662 0.6443]
glass,ga,0,0.6221,[0.6153 0.6582 0.0000 0.0000 0.0000 0.5813],[0.8000 0.6842 0.0000 0.0000 0.0000 0.8620]
glass,ga,1,0.5238,[0.7021 0.4459 0.0000 0.0000 0.0000 0.7222],[0.4714 0.8684 0.0000 0.0000 0.0000 0.4482]
glass,ga,2,0.3965,[0.4285 0.3833 0.0000 0.0000 0.0000 0.6666],[0.1714 0.9078 0.0000 0.0000 0.0000 0.1379]
glass,de,0,0.4584,[0.4351 0.3846 0.0000 0.0000 0.0000 0.6666],[0.6714 0.3289 0.0000 0.0000 0.0000 0.8965]
glass,de,1,0.4500,[0.4186 0.4255 0.0000 0.0000 0.0000 0.6060],[0.5142 0.5263 0.0000 0.0000 0.0000 0.6896]
glass,de,2,0.4340,[0.3974 0.4065 0.0000 0.5000 0.0000 0.5581],[0.4428 0.4868 0.0000 0.0769 0.0000 0.8275]
glass,pso,0,0.4957,[0.5185 0.4409 0.0000 0.0000 0.0000 0.6875],[0.4000 0.7368 0.0000 0.0000 0.0000 0.7586]
glass,pso,1,0.4022,[0.4237 0.4028 0.0000 0.0000 0.0000 0.5000],[0.3571 0.7368 0.0000 0.0000 0.0000 0.1724]
glass,pso,2,0.3303,[0.3333 0.3448 0.0000 0.0000 0.0000 0.3157],[0.0714 0.7894 0.0000 0.0000 0.0000 0.2068]
soybean,ga,0,0.9750,[1.0000 1.0000 1.0000 0.9444],[1.0000 1.0000 0.9000 1.0000]
soybean,ga,1,0.8750,[0.6666 0.9090 1.0000 1.0000],[1.0000 1.0000 0.4000 1.0000]
soybean,ga,2,0.6750,[0.6666 0.7777 0.7142 0.6400],[0.4000 0.7000 0.5000 0.9411]
soybean,de,0,0.7300,[0.6000 0.6666 0.7142 0.8095],[0.6000 0.6000 0.5000 1.0000]
soybean,de,1,0.4700,[0.2500 0.4444 0.3333 0.5555],[0.2000 0.4000 0.1000 0.8823]
soybean,de,2,0.5150,[0.4285 0.7500 0.3076 0.6086],[0.3000 0.3000 0.4000 0.8235]
soybean,pso,0,0.5450,[0.3333 0.7500 0.6250 0.5000],[0.3000 0.6000 0.5000 0.6470]
soybean,pso,1,0.4350,[0.2857 0.6000 0.1428 0.4782],[0.2000 0.6000 0.1000 0.6470]
soybean,pso,2,0.4400,[1.0000 0.2000 0.6666 0.4782],[0.3000 0.3000 0.4000 0.6470]
